cod_provincia,provincia,anio,tasa_actividad,tasa_paro,tasa_empleo,trimestres_disponibles
05,Ávila,2013,54.95,25.525,40.932500000000005,4
05,Ávila,2014,53.769999999999996,26.0425,39.754999999999995,4
05,Ávila,2015,53.614999999999995,22.985,41.3,4
05,Ávila,2016,55.91,21.2325,44.05,4
05,Ávila,2017,55.585,17.965,45.5925,4
05,Ávila,2018,53.260000000000005,16.4225,44.51,4
05,Ávila,2019,52.775,14.7025,45.04,4
05,Ávila,2020,54.36,14.43,46.4975,4
05,Ávila,2021,52.325,15.49,44.2,4
05,Ávila,2022,52.965,13.935,45.6025,4
05,Ávila,2023,52.655,11.635,46.519999999999996,4
05,Ávila,2024,52.6975,11.1425,46.8375,4
05,Ávila,2025,50.795,8.879999999999999,46.2825,4
05,Ávila,2026,49.68,8.58,45.42,1
06,Badajoz,2002,49.955,19.555,40.185,4
06,Badajoz,2003,50.224999999999994,16.36,42.0125,4
06,Badajoz,2004,51.085,18.09,41.83,4
06,Badajoz,2005,52.035,17.43,42.9625,4
06,Badajoz,2006,51.8875,14.625,44.29,4
06,Badajoz,2007,53.61,14.0375,46.082499999999996,4
06,Badajoz,2008,54.665,15.8275,46,4
06,Badajoz,2009,55.614999999999995,21.330000000000002,43.7525,4
06,Badajoz,2010,56.2625,23.955000000000002,42.785,4
06,Badajoz,2011,55.8375,27.085,40.7175,4
06,Badajoz,2012,56.495000000000005,33.8025,37.3975,4
06,Badajoz,2013,56.6325,34.394999999999996,37.1425,4
06,Badajoz,2014,55.18,31.27,37.9275,4
06,Badajoz,2015,55.542500000000004,30.252499999999998,38.7425,4
06,Badajoz,2016,56.35,29.740000000000002,39.5925,4
06,Badajoz,2017,55.845,28.1525,40.1175,4
06,Badajoz,2018,55.995000000000005,25.450000000000003,41.7425,4
06,Badajoz,2019,56.3275,22.44,43.685,4
06,Badajoz,2020,54.585,22.59,42.245000000000005,4
06,Badajoz,2021,55.745,20.5275,44.32,4
06,Badajoz,2022,56.1875,17.6225,46.292500000000004,4
06,Badajoz,2023,57.480000000000004,18.675,46.739999999999995,4
06,Badajoz,2024,56.2175,15.395,47.565,4
06,Badajoz,2025,55.805,14.38,47.792500000000004,4
06,Badajoz,2026,55.4,13.37,48,1
07,"Balears, Illes",2002,61.07,7.615,56.44,4
07,"Balears, Illes",2003,62.754999999999995,9.775,56.65,4
07,"Balears, Illes",2004,63.207499999999996,9.1675,57.442499999999995,4
07,"Balears, Illes",2005,63.1275,7.2924999999999995,58.567499999999995,4
07,"Balears, Illes",2006,64.4425,6.5,60.2825,4
07,"Balears, Illes",2007,64.39,7.217499999999999,59.7775,4
07,"Balears, Illes",2008,64.9875,10.1875,58.3875,4
07,"Balears, Illes",2009,65.8625,17.97,54.06,4
07,"Balears, Illes",2010,66.325,20.18,52.975,4
07,"Balears, Illes",2011,65.4725,21.947499999999998,51.1575,4
07,"Balears, Illes",2012,67.0025,23.2575,51.474999999999994,4
07,"Balears, Illes",2013,66.225,22.335,51.4775,4
07,"Balears, Illes",2014,64.8875,20.14,51.9025,4
07,"Balears, Illes",2015,65.7725,17.41,54.385,4
07,"Balears, Illes",2016,65.2175,13.9575,56.1525,4
07,"Balears, Illes",2017,64.1,12.5275,56.1225,4
07,"Balears, Illes",2018,64.415,11.6775,56.9825,4
07,"Balears, Illes",2019,64.41,11.82,56.835,4
07,"Balears, Illes",2020,61.61,16.1875,51.665,4
07,"Balears, Illes",2021,63.215,14.434999999999999,54.16,4
07,"Balears, Illes",2022,64.005,10.735,57.1925,4
07,"Balears, Illes",2023,63.6175,10.48,57.040000000000006,4
07,"Balears, Illes",2024,63.942499999999995,9.45,57.9625,4
07,"Balears, Illes",2025,64.04,8.94,58.3775,4
07,"Balears, Illes",2026,61.86,13.79,53.32,1
08,Barcelona,2002,59.15,10.782499999999999,52.77,4
08,Barcelona,2003,61.085,10.8625,54.4525,4
08,Barcelona,2004,61.5375,10.355,55.160000000000004,4
08,Barcelona,2005,61.9925,6.890000000000001,57.725,4
08,Barcelona,2006,62.935,6.547499999999999,58.817499999999995,4
08,Barcelona,2007,63.485,6.5225,59.345,4
08,Barcelona,2008,64.0975,8.6175,58.58,4
08,Barcelona,2009,63.6125,16.2025,53.305,4
08,Barcelona,2010,64.0375,17.7275,52.6825,4
08,Barcelona,2011,64.255,19.1,51.9825,4
08,Barcelona,2012,63.5525,22.515,49.245,4
08,Barcelona,2013,63,23.1175,48.4375,4
08,Barcelona,2014,62.4875,19.975,50.005,4
08,Barcelona,2015,62.0575,18.235,50.74,4
08,Barcelona,2016,62.370000000000005,15.4975,52.7025,4
08,Barcelona,2017,62.0475,13.1025,53.917500000000004,4
08,Barcelona,2018,61.385,11.0875,54.5775,4
08,Barcelona,2019,61.68,10.9,54.957499999999996,4
08,Barcelona,2020,60.4475,12.5225,52.8825,4
08,Barcelona,2021,61.37,11.3275,54.4225,4
08,Barcelona,2022,61.3875,9.925,55.295,4
08,Barcelona,2023,62.1325,9.120000000000001,56.4725,4
08,Barcelona,2024,62.0875,8.4525,56.835,4
08,Barcelona,2025,62.265,8.195,57.1625,4
08,Barcelona,2026,62.12,9.66,56.12,1
09,Burgos,2002,53.4975,7.6825,49.379999999999995,4
09,Burgos,2003,55.2725,8.71,50.46,4
09,Burgos,2004,54.07,8.4875,49.47,4
09,Burgos,2005,55.629999999999995,6.805,51.8575,4
09,Burgos,2006,56.8325,7.0649999999999995,52.83,4
09,Burgos,2007,58.019999999999996,6.5225,54.225,4
09,Burgos,2008,60.5975,9.16,55.042500000000004,4
09,Burgos,2009,58.63,12.6675,51.21,4
09,Burgos,2010,58.707499999999996,15.3725,49.6825,4
09,Burgos,2011,57.9625,14.975000000000001,49.285,4
09,Burgos,2012,58.845,17.310000000000002,48.66,4
09,Burgos,2013,58.412499999999994,20.4125,46.487500000000004,4
09,Burgos,2014,59.59,18.225,48.730000000000004,4
09,Burgos,2015,58.057500000000005,17.884999999999998,47.6725,4
09,Burgos,2016,60.0925,11.7325,53.04,4
09,Burgos,2017,57.2475,10.5525,51.207499999999996,4
09,Burgos,2018,58.1775,10.39,52.1375,4
09,Burgos,2019,57.06,9.96,51.375,4
09,Burgos,2020,56.6775,11.1275,50.385,4
09,Burgos,2021,57.245,9.63,51.7375,4
09,Burgos,2022,58.36,8.555,53.3725,4
09,Burgos,2023,56.807500000000005,7.717499999999999,52.4225,4
09,Burgos,2024,56.635,6.9275,52.7125,4
09,Burgos,2025,56.4,7.6025,52.11,4
09,Burgos,2026,55.49,8.09,51.01,1
10,Cáceres,2002,49.2275,18.2075,40.2625,4
10,Cáceres,2003,50.08,18.7675,40.685,4
10,Cáceres,2004,50.19,15.845,42.239999999999995,4
10,Cáceres,2005,50.98,12.95,44.3775,4
