cod_provincia,provincia,anio,precio_vivienda_libre_eur_m2,trimestres_disponibles
06,Badajoz,2014,854.7,4
06,Badajoz,2015,879.975,4
06,Badajoz,2016,874.15,4
06,Badajoz,2017,858.925,4
06,Badajoz,2018,865.85,4
06,Badajoz,2019,864.6,4
06,Badajoz,2020,861.3999999999999,4
06,Badajoz,2021,859.775,4
06,Badajoz,2022,888.8,4
06,Badajoz,2023,900.8,4
06,Badajoz,2024,924.775,4
06,Badajoz,2025,948.05,4
07,Illes Balears,1995,592.1,4
07,Illes Balears,1996,603.45,4
07,Illes Balears,1997,642.65,4
07,Illes Balears,1998,748.525,4
07,Illes Balears,1999,940.4,4
07,Illes Balears,2000,1145.45,4
07,Illes Balears,2001,1332.6,4
07,Illes Balears,2002,1456.9,4
07,Illes Balears,2003,1586.825,4
07,Illes Balears,2004,1746.525,4
07,Illes Balears,2005,1972.25,4
07,Illes Balears,2006,2199.725,4
07,Illes Balears,2007,2367.45,4
07,Illes Balears,2008,2409.525,4
07,Illes Balears,2009,2192.85,4
07,Illes Balears,2010,2093.35,4
07,Illes Balears,2011,1990.85,4
07,Illes Balears,2012,1839.575,4
07,Illes Balears,2013,1857.625,4
07,Illes Balears,2014,1895.85,4
07,Illes Balears,2015,1943.775,4
07,Illes Balears,2016,2051.7,4
07,Illes Balears,2017,2132.2999999999997,4
07,Illes Balears,2018,2239.55,4
07,Illes Balears,2019,2360.8,4
07,Illes Balears,2020,2372.9,4
07,Illes Balears,2021,2462.275,4
07,Illes Balears,2022,2653.925,4
07,Illes Balears,2023,2887.575,4
07,Illes Balears,2024,3167.0249999999996,4
07,Illes Balears,2025,3609.125,4
08,Barcelona,1995,878.525,4
08,Barcelona,1996,894.825,4
08,Barcelona,1997,926.425,4
08,Barcelona,1998,997.15,4
08,Barcelona,1999,1138.125,4
08,Barcelona,2000,1297.075,4
08,Barcelona,2001,1466.9,4
08,Barcelona,2002,1581.75,4
08,Barcelona,2003,1770.075,4
08,Barcelona,2004,2059.075,4
08,Barcelona,2005,2271.15,4
08,Barcelona,2006,2549.25,4
08,Barcelona,2007,2697.325,4
08,Barcelona,2008,2770.5,4
08,Barcelona,2009,2590.975,4
08,Barcelona,2010,2510.875,4
08,Barcelona,2011,2357.575,4
08,Barcelona,2012,2104.45,4
08,Barcelona,2013,1915.075,4
08,Barcelona,2014,1884.525,4
08,Barcelona,2015,1908.575,4
08,Barcelona,2016,2027.4750000000001,4
08,Barcelona,2017,2157.3250000000003,4
08,Barcelona,2018,2300.525,4
08,Barcelona,2019,2406.475,4
08,Barcelona,2020,2372.425,4
08,Barcelona,2021,2410.7000000000003,4
08,Barcelona,2022,2520.2999999999997,4
08,Barcelona,2023,2577.35,4
08,Barcelona,2024,2692.8,4
08,Barcelona,2025,2962.45,4
09,Burgos,1995,719.65,4
09,Burgos,1996,733.95,4
09,Burgos,1997,760.7,4
09,Burgos,1998,831.075,4
09,Burgos,1999,928.25,4
09,Burgos,2000,1070.475,4
09,Burgos,2001,1126.2,4
09,Burgos,2002,1188.925,4
09,Burgos,2003,1267.7,4
09,Burgos,2004,1403.7,4
09,Burgos,2005,1497.25,4
09,Burgos,2006,1686,4
09,Burgos,2007,1780.95,4
09,Burgos,2008,1766.65,4
09,Burgos,2009,1653.825,4
09,Burgos,2010,1673.15,4
09,Burgos,2011,1508.025,4
09,Burgos,2012,1357.05,4
09,Burgos,2013,1244.625,4
09,Burgos,2014,1145.225,4
09,Burgos,2015,1149.85,4
09,Burgos,2016,1120.075,4
09,Burgos,2017,1125.45,4
09,Burgos,2018,1116.9499999999998,4
09,Burgos,2019,1130.075,4
09,Burgos,2020,1110.225,4
09,Burgos,2021,1123.15,4
09,Burgos,2022,1162.875,4
09,Burgos,2023,1149.6999999999998,4
09,Burgos,2024,1197.875,4
09,Burgos,2025,1311.6,4
10,Cáceres,1995,416.4,4
10,Cáceres,1996,426.425,4
10,Cáceres,1997,428.35,4
10,Cáceres,1998,448.975,4
10,Cáceres,1999,466.07500000000005,4
