cod_provincia,provincia,anio,poblacion,superficie_total_km2,superficie_inundable_t100_km2,exposicion_inundacion_t100,exposicion_inundacion_t100_pct,exposicion_inundacion_norm,quintil_exposicion_inundacion,exposicion_alta_inundacion,numero_hipotecas_vivienda,importe_total_hipotecas_vivienda_miles_eur,importe_total_hipotecas_vivienda_eur,importe_medio_hipoteca_eur,precio_vivienda_libre_eur_m2,trimestres_precio_disponibles,ejecuciones_hipotecarias_vivienda,tasa_actividad,tasa_paro,tasa_empleo,trimestres_epa_disponibles,renta_neta_media_persona,hipotecas_por_1000_habitantes,ejecuciones_por_1000_habitantes,importe_hipotecario_por_habitante_eur,pd_proxy_hipotecaria,pd_proxy_hipotecaria_1000,ead_proxy_hipotecaria_eur,valor_vivienda_proxy_90m2_eur,valor_vivienda_proxy_100m2_eur,ltv_proxy_90m2,ltv_proxy_100m2,haircut_climatico_proxy,valor_vivienda_clima_proxy_90m2_eur,valor_vivienda_clima_proxy_100m2_eur,ltv_proxy_clima_90m2,ltv_proxy_clima_100m2,lgd_shortfall_proxy_90m2,lgd_shortfall_proxy_100m2,lgd_shortfall_proxy_clima_90m2,lgd_shortfall_proxy_clima_100m2,perdida_esperada_proxy_sin_lgd_eur,perdida_esperada_proxy_90m2_eur,perdida_esperada_proxy_100m2_eur,perdida_esperada_proxy_clima_90m2_eur,perdida_esperada_proxy_clima_100m2_eur,incremento_perdida_esperada_clima_90m2_eur,incremento_perdida_esperada_clima_100m2_eur,log_poblacion,log_numero_hipotecas,log_importe_hipotecas,log_importe_medio_hipoteca,log_precio_vivienda,log_renta,log_valor_vivienda_proxy_90m2,log_ead_proxy,tasa_paro_lag1,tasa_empleo_lag1,precio_vivienda_lag1,renta_lag1,pd_proxy_hipotecaria_1000_lag1,ltv_proxy_90m2_lag1,variacion_precio_vivienda_yoy,variacion_numero_hipotecas_yoy,variacion_importe_medio_hipoteca_yoy,interaccion_exposicion_paro,interaccion_exposicion_ltv_90m2,interaccion_exposicion_precio
01,Araba/Álava,2014,321932,3037.3215283320224,42.176209121786826,0.0138859876138791,1.3885987613879098,0.23279858086150096,3,0,1596,171177,171177000,107253.75939849624,1992.95,4,57,60.865,17.197499999999998,50.39,4,NA,4.957568679099934,0.1770560242535691,531.7178783097052,0.03571428571428571,35.714285714285715,107253.75939849624,179365.5,199295,0.5979620350541004,0.5381658315486904,0.011639929043075049,177277.69830722432,196975.22034136034,0.6050042414958718,0.5445038173462846,0,0,0,0,3830.4914070891514,0,0,0,0,0,0,12.68209562210066,7.3758821482150125,18.958208672694226,11.582952888842565,7.597371232090765,NA,12.09718090242103,11.582952888842565,17.5125,50.79,2083.35,NA,NA,0.562994989915979,-0.043391652866777,-0.5153355602793805,0.016022316800525144,0.2388042719896858,0.008303293412331178,27.674079015080352
01,Araba/Álava,2015,323648,3037.3215283320224,42.176209121786826,0.0138859876138791,1.3885987613879098,0.23279858086150096,3,0,2039,196443,196443000,96342.81510544383,1976.25,4,51,59.6075,15.0125,50.6325,4,NA,6.300054380067233,0.15757860391536482,606.9649742930591,0.02501226091221187,25.01226091221187,96342.81510544383,177862.5,197625,0.5416701952656903,0.4875031757391212,0.011639929043075049,175792.19312057606,195324.6590228623,0.5480494519990554,0.4932445067991499,0,0,0,0,2409.7516284343483,0,0,0,0,0,0,12.687411784439655,7.620705086838262,19.095882875947968,11.475668100282979,7.588956388523682,NA,12.088766058853947,11.475668100282979,17.197499999999998,50.39,1992.95,NA,35.714285714285715,0.5979620350541004,-0.00837953787099528,0.2775689223057644,-0.10173018040806676,0.20846338905335995,0.007521625622266848,27.44218302192857
01,Araba/Álava,2016,324126,3037.3215283320224,42.176209121786826,0.0138859876138791,1.3885987613879098,0.23279858086150096,3,0,1836,200673,200673000,109299.01960784312,1903.35,4,59,58.4325,11.9875,51.43,4,NA,5.664463819625701,0.18202797677446425,619.1203420891875,0.03213507625272331,32.135076252723316,109299.01960784312,171301.5,190335,0.6380505693636257,0.5742455124272631,0.011639929043075049,169307.56269502768,188119.5141055863,0.6455648989804581,0.5810084090824122,0,0,0,0,3512.332329445939,0,0,0,0,0,0,12.68888760806567,7.515889085215125,19.11718728055196,11.601842704388291,7.551370770511033,NA,12.051180440841298,11.601842704388291,15.0125,50.6325,1976.25,NA,25.01226091221187,0.5416701952656903,-0.03688804554079701,-0.09955860716037274,0.13448023589739588,0.1664582765213757,0.008859962303211814,26.429894524876783
01,Araba/Álava,2017,326574,3037.3215283320224,42.176209121786826,0.0138859876138791,1.3885987613879098,0.23279858086150096,3,0,2915,304693,304693000,104525.90051457976,1921.8249999999998,4,44,57.1575,11.2675,50.72,4,NA,8.926001457556326,0.13473209747254833,932.9983403455266,0.01509433962264151,15.09433962264151,104525.90051457976,172964.24999999997,192182.49999999997,0.6043208380609275,0.5438887542548347,0.011639929043075049,170950.95840301126,189945.50933667918,0.6114379322060505,0.5502941389854454,0,0,0,0,1577.7494417295059,0,0,0,0,0,0,12.696411848266328,7.977968093128549,19.534815273557562,11.557190171490976,7.561030534396291,NA,12.060840204726556,11.557190171490976,11.9875,51.43,1903.35,NA,32.135076252723316,0.6380505693636257,0.009706569995008752,0.5876906318082789,-0.043670282774621066,0.15646036543938274,0.008391591672123076,26.686438146043198
01,Araba/Álava,2018,328868,3037.3215283320224,42.176209121786826,0.0138859876138791,1.3885987613879098,0.23279858086150096,3,0,2645,314012,314012000,118719.09262759924,1914.275,4,22,57.790000000000006,9.1125,52.525,4,NA,8.042740552440492,0.0668961407008283,954.8268606249316,0.00831758034026465,8.31758034026465,118719.09262759924,172284.75,191427.5,0.6890864840190396,0.6201778356171357,0.011639929043075049,170279.36773479608,189199.29748310675,0.6972018642475811,0.627481677822823,0,0,0,0,987.4555908533773,0,0,0,0,0,0,12.703411733433441,7.880804344674901,19.564941762887393,11.684515415410402,7.557094239853101,NA,12.056903910183365,11.684515415410402,11.2675,50.72,1921.8249999999998,NA,15.09433962264151,0.6043208380609275,-0.0039285574909264515,-0.09262435677530018,0.13578636532329852,0.1265360621314733,0.009568646381979882,26.581598939558415
01,Araba/Álava,2019,331549,3037.3215283320224,42.176209121786826,0.0138859876138791,1.3885987613879098,0.23279858086150096,3,0,2974,371183,371183000,124809.3476798924,1959.55,4,8,57.8375,8.28,53.055,4,NA,8.970016498315484,0.02412916341174306,1119.541907832628,0.0026899798251513113,2.6899798251513114,124809.3476798924,176359.5,195955,0.7076984663706373,0.6369286197335735,0.011639929043075049,174306.6879339278,193674.09770436422,0.7160330401504862,0.6444297361354376,0,0,0,0,335.73462724920614,0,0,0,0,0,0,12.711530890656135,7.99799931797973,19.73220576310788,11.734542633393692,7.580470134027587,NA,12.080279804357852,11.734542633393692,9.1125,52.525,1914.275,NA,8.31758034026465,0.6890864840190396,0.023651251779394214,0.12438563327032136,0.05129971024456199,0.11497597744291893,0.009827092138383904,27.21028702877679
01,Araba/Álava,2020,333940,3037.3215283320224,42.176209121786826,0.0138859876138791,1.3885987613879098,0.23279858086150096,3,0,3284,393562,393562000,119842.26552984164,1946.1,4,10,54.81,7.8575,50.5025,4,14962,9.834101934479246,0.02994549919147152,1178.5410552793915,0.0030450669914738123,3.045066991473812,119842.26552984164,175149,194610,0.6842303725961417,0.6158073353365277,0.011639929043075049,173110.27806803444,192344.75340892715,0.6922885623391014,0.6230597061051912,0,0,0,0,364.9277269483606,0,0,0,0,0,0,12.718716615102949,8.09712193091871,19.79074917630708,11.693931703193865,7.573582648887119,9.61326893243235,12.073392319217385,11.693931703193865,8.28,53.055,1959.55,NA,2.6899798251513114,0.7076984663706373,-0.006863820775177998,0.10423671822461332,-0.039797356867774004,0.10910914767605502,0.009501214478909906,27.023520495370114
01,Araba/Álava,2021,333626,3037.3215283320224,42.176209121786826,0.0138859876138791,1.3885987613879098,0.23279858086150096,3,0,3309,451468,451468000,136436.3856149894,2009.8,4,41,57.2575,11.365,50.754999999999995,4,15539,9.918291739852409,0.12289210073555419,1353.2158764604676,0.0123904502870958,12.390450287095799,136436.3856149894,180882,200980,0.7542839288319977,0.678855535948798,0.011639929043075049,178776.5463548305,198640.60706092278,0.7631671401918372,0.6868504261726535,0,0,0,0,1690.5082533135587,0,0,0,0,0,0,12.717775884079629,8.104703468371108,19.928015055662996,11.823613745526387,7.605790493614858,9.651108271786734,12.105600163945123,11.823613745526387,7.8575,50.5025,1946.1,14962,3.045066991473812,0.6842303725961417,0.03273213092852374,0.007612667478684531,0.13846634166821317,0.15781424923173595,0.010473977293109183,27.908057906374214
02,Albacete,2014,396987,14931.722009287469,106.035214677,0.00710133865411146,0.710133865411146,0.11905394177665171,2,0,1226,95806,95806000,78145.18760195759,934.625,4,314,57.155,27.5175,41.4275,4,NA,3.0882623360462684,0.7909578903087506,241.33283961439543,0.2561174551386623,256.1174551386623,78145.18760195759,84116.25,93462.5,0.9290141631605973,0.8361127468445375,0.005952697088832586,83615.53144350149,92906.14604833498,0.9345774194446138,0.8411196775001525,0.03123113114001208,0,0.036997918765426685,0,20014.346579946723,625.0706827199684,0,740.4891689079642,0,115.41848618799577,0,12.89165881354124,7.112327444710911,18.37783588189781,11.266323754963892,6.84014537932008,NA,11.339955049650344,11.266323754963892,30.9875,40.2375,984.1,NA,NA,0.9314089183202279,-0.05027436236154865,-0.012087026591458501,-0.05271621182877292,0.19541108641451208,0.00659724418706936,6.6370886395989235
02,Albacete,2015,394580,14931.722009287469,106.035214677,0.00710133865411146,0.710133865411146,0.11905394177665171,2,0,1483,120533,120533000,81276.46662171274,958.95,4,262,57.7975,24.6825,43.54,4,9150,3.7584266815347966,0.6639971615388515,305.4716407319175,0.17666891436277815,176.66891436277814,81276.46662171274,86305.5,95895,0.9417298621954886,0.8475568759759396,0.005952697088832586,85791.74950139975,95324.1661126664,0.9473692644580777,0.8526323380122699,0.04431192412036533,0,0.05000084574748609,0,14359.025121300565,636.2760316174902,0,717.9634001744272,0,81.68736855693703,0,12.88557718704896,7.302496423727326,18.607434140620118,11.305611790185704,6.865838935880846,9.121509158269568,11.36564860621111,11.305611790185704,27.5175,41.4275,934.625,NA,256.1174551386623,0.9290141631605973,0.026026481209041108,0.2096247960848287,0.040070017308099865,0.17527879133010613,0.006687542672139881,6.809828702360185
