cod_provincia,provincia,zona,superficie_total_km2,superficie_inundable_t100_km2,exposicion_inundacion_t100
43,Tarragona,Peninsula_Baleares,6306.697135636615,376.18235465978944,0.0596480767300738
17,Girona,Peninsula_Baleares,5908.475120854072,301.6245221231638,0.051049469779194716
46,València/Valencia,Peninsula_Baleares,10812.944298805174,526.2534584600846,0.048668840226822906
30,Murcia,Peninsula_Baleares,11316.268693996035,458.4982168033756,0.04051673119485371
11,Cádiz,Peninsula_Baleares,7461.045787625123,284.31895548895807,0.03810711843647026
03,Alacant/Alicante,Peninsula_Baleares,5818.84610424682,215.97736164619675,0.03711687124506834
52,Melilla,Peninsula_Baleares,13.630035604538168,0.45620504792489286,0.033470569055079925
31,Navarra,Peninsula_Baleares,10392.340165221434,333.80758200074365,0.032120540387799275
49,Zamora,Peninsula_Baleares,10561.286487955595,329.3840212381097,0.031187869168566636
47,Valladolid,Peninsula_Baleares,8110.541388714048,251.02253975311092,0.030950158284428823
34,Palencia,Peninsula_Baleares,8052.081097978901,235.137104548266,0.02920202885280008
28,Madrid,Peninsula_Baleares,8030.86383096488,221.30997466072475,0.0275574308466559
24,León,Peninsula_Baleares,15578.621804699553,412.5639708980066,0.026482700207379688
50,Zaragoza,Peninsula_Baleares,17275.083615391362,443.4187732609099,0.02566811154915874
26,La Rioja,Peninsula_Baleares,5045.076566826711,123.66052801143924,0.024511130083645118
41,Sevilla,Peninsula_Baleares,14035.498279820526,337.55012918802,0.024049743191043752
13,Ciudad Real,Peninsula_Baleares,19811.89093550687,462.5518330637203,0.023347182485985468
32,Ourense,Peninsula_Baleares,7274.7089979693665,150.5273802577664,0.020691876513518826
39,Cantabria,Peninsula_Baleares,5330.186134649216,109.925996905309,0.020623294220576658
08,Barcelona,Peninsula_Baleares,7735.322929248506,148.465770397891,0.01919322202264083
06,Badajoz,Peninsula_Baleares,21768.884588619545,416.518967378513,0.01913368439631781
45,Toledo,Peninsula_Baleares,15367.765993367862,273.23273852882255,0.017779600408201122
21,Huelva,Peninsula_Baleares,10138.772573929306,179.36310682371638,0.017690810748130212
29,Málaga,Peninsula_Baleares,7308.419688089213,122.86188174030339,0.01681100524926554
25,Lleida,Peninsula_Baleares,12167.7198310602,202.6669532316997,0.016656116022194842
12,Castelló/Castellón,Peninsula_Baleares,6633.816757211004,106.00350773334577,0.015979263765180014
48,Bizkaia,Peninsula_Baleares,2215.5153233173323,33.265541561658225,0.015014809968386547
09,Burgos,Peninsula_Baleares,14289.49896300483,207.44330718751976,0.014517185502765739
01,Araba/Álava,Peninsula_Baleares,3037.3215283320224,42.176209121786826,0.013885987613879108
14,Córdoba,Peninsula_Baleares,13772.587516516338,189.09446576035867,0.01372977049763475
33,Asturias,Peninsula_Baleares,10605.231224061436,136.10581888635332,0.012833837943820852
42,Soria,Peninsula_Baleares,10306.94002929139,130.76137290082752,0.012686730739600263
20,Gipuzkoa,Peninsula_Baleares,1982.5111091339154,17.86830068202454,0.00901296371036757
36,Pontevedra,Peninsula_Baleares,4494.9110219851045,36.50170013706302,0.008120672457926126
18,Granada,Peninsula_Baleares,12645.519600770072,97.33031317573978,0.007696821977154079
51,Ceuta,Peninsula_Baleares,19.86566634442972,0.15249599183055296,0.0076763592615816
02,Albacete,Peninsula_Baleares,14931.722009287469,106.03521467700001,0.007101338654111465
04,Almería,Peninsula_Baleares,8773.382150977073,61.688537847766334,0.007031329171144815
27,Lugo,Peninsula_Baleares,9857.958827261466,65.9338549241408,0.0066883881419554665
22,Huesca,Peninsula_Baleares,15637.623985301692,101.97259545643112,0.006520977582801483
05,Ávila,Peninsula_Baleares,8048.736170410478,52.28848120854475,0.006496483435594844
10,Cáceres,Peninsula_Baleares,19864.302449305713,127.1142436277217,0.006399129491313426
23,Jaén,Peninsula_Baleares,13493.280965784035,67.22674752025392,0.004982238766888945
37,Salamanca,Peninsula_Baleares,12348.321725404448,60.91293844481211,0.0049328920803460045
19,Guadalajara,Peninsula_Baleares,12213.37298142646,59.449410619806905,0.004867566945692631
40,Segovia,Peninsula_Baleares,6923.095407141722,32.74937034994859,0.004730451976173117
07,Illes Balears,Peninsula_Baleares,4990.791438251215,22.259534125377385,0.0044601210851594264
44,Teruel,Peninsula_Baleares,14826.944372408749,54.053021204971465,0.0036455941188771146
15,A Coruña,Peninsula_Baleares,7965.480264703163,28.97230856428151,0.003637233111061028
16,Cuenca,Peninsula_Baleares,17121.136362435358,45.35505508445904,0.002649068036393328
35,Las Palmas,Canarias,4069.7114356932766,6.642140463322019,0.0016320912596080731
38,Santa Cruz de Tenerife,Canarias,3375.875770320326,2.724768979991561,8.071295170121193e-4
54,Territorios no asociados a ninguna provincia,Peninsula_Baleares,7.148428279576465,0.0028032778023169215,3.9215302898485706e-4
