cod_provincia,provincia,anio,ejecuciones_hipotecarias_vivienda
20,Gipuzkoa,2017,77
20,Gipuzkoa,2018,27
20,Gipuzkoa,2019,29
20,Gipuzkoa,2020,36
20,Gipuzkoa,2021,43
20,Gipuzkoa,2022,41
20,Gipuzkoa,2023,62
20,Gipuzkoa,2024,63
20,Gipuzkoa,2025,84
21,Huelva,2014,1287
21,Huelva,2015,1318
21,Huelva,2016,772
21,Huelva,2017,578
21,Huelva,2018,359
21,Huelva,2019,269
21,Huelva,2020,299
21,Huelva,2021,362
21,Huelva,2022,190
21,Huelva,2023,197
21,Huelva,2024,127
21,Huelva,2025,183
22,Huesca,2014,240
22,Huesca,2015,289
22,Huesca,2016,182
22,Huesca,2017,96
22,Huesca,2018,180
22,Huesca,2019,95
22,Huesca,2020,56
22,Huesca,2021,129
22,Huesca,2022,55
22,Huesca,2023,46
22,Huesca,2024,55
22,Huesca,2025,58
23,Jaén,2014,659
23,Jaén,2015,688
23,Jaén,2016,534
23,Jaén,2017,266
23,Jaén,2018,117
23,Jaén,2019,253
23,Jaén,2020,152
23,Jaén,2021,234
23,Jaén,2022,251
23,Jaén,2023,227
23,Jaén,2024,187
23,Jaén,2025,254
24,León,2014,426
24,León,2015,317
24,León,2016,161
24,León,2017,135
24,León,2018,205
24,León,2019,257
24,León,2020,202
24,León,2021,103
24,León,2022,97
24,León,2023,60
24,León,2024,98
24,León,2025,125
25,Lleida,2014,891
25,Lleida,2015,843
25,Lleida,2016,510
25,Lleida,2017,295
25,Lleida,2018,741
25,Lleida,2019,798
25,Lleida,2020,290
25,Lleida,2021,254
25,Lleida,2022,198
25,Lleida,2023,176
25,Lleida,2024,103
25,Lleida,2025,137
26,"Rioja, La",2014,333
26,"Rioja, La",2015,272
26,"Rioja, La",2016,284
26,"Rioja, La",2017,165
26,"Rioja, La",2018,495
26,"Rioja, La",2019,143
26,"Rioja, La",2020,154
26,"Rioja, La",2021,136
26,"Rioja, La",2022,108
26,"Rioja, La",2023,100
26,"Rioja, La",2024,111
26,"Rioja, La",2025,85
27,Lugo,2014,264
27,Lugo,2015,88
27,Lugo,2016,164
27,Lugo,2017,193
27,Lugo,2018,75
27,Lugo,2019,98
27,Lugo,2020,117
27,Lugo,2021,31
27,Lugo,2022,32
27,Lugo,2023,16
27,Lugo,2024,27
27,Lugo,2025,27
28,Madrid,2014,4424
28,Madrid,2015,425
28,Madrid,2016,3511
28,Madrid,2017,2305
28,Madrid,2018,1646
28,Madrid,2019,1466
28,Madrid,2020,1286
28,Madrid,2021,175
28,Madrid,2022,1455
28,Madrid,2023,1185
28,Madrid,2024,1161
28,Madrid,2025,1328
29,Málaga,2014,3834
29,Málaga,2015,2947
29,Málaga,2016,2066
29,Málaga,2017,1222
29,Málaga,2018,647
29,Málaga,2019,531
29,Málaga,2020,495
29,Málaga,2021,674
29,Málaga,2022,621
29,Málaga,2023,443
29,Málaga,2024,420
29,Málaga,2025,613
30,Murcia,2014,3709
30,Murcia,2015,3612
30,Murcia,2016,2585
30,Murcia,2017,1639
30,Murcia,2018,1453
30,Murcia,2019,2055
30,Murcia,2020,1077
30,Murcia,2021,984
30,Murcia,2022,806
30,Murcia,2023,554
30,Murcia,2024,684
30,Murcia,2025,667
31,Navarra,2014,363
31,Navarra,2015,340
31,Navarra,2016,233
31,Navarra,2017,129
31,Navarra,2018,175
31,Navarra,2019,54
31,Navarra,2020,65
31,Navarra,2021,88
31,Navarra,2022,83
31,Navarra,2023,55
31,Navarra,2024,56
31,Navarra,2025,62
32,Ourense,2014,41
32,Ourense,2015,42
32,Ourense,2016,28
32,Ourense,2017,35
32,Ourense,2018,85
32,Ourense,2019,53
32,Ourense,2020,25
32,Ourense,2021,18
32,Ourense,2022,17
32,Ourense,2023,14
32,Ourense,2024,24
32,Ourense,2025,42
33,Asturias,2014,574
33,Asturias,2015,603
33,Asturias,2016,394
33,Asturias,2017,286
33,Asturias,2018,474
33,Asturias,2019,335
33,Asturias,2020,299
33,Asturias,2021,337
33,Asturias,2022,251
33,Asturias,2023,173
33,Asturias,2024,202
33,Asturias,2025,269
34,Palencia,2014,119
34,Palencia,2015,106
34,Palencia,2016,45
34,Palencia,2017,20
34,Palencia,2018,23
34,Palencia,2019,30
34,Palencia,2020,22
34,Palencia,2021,24
34,Palencia,2022,15
34,Palencia,2023,19
34,Palencia,2024,14
34,Palencia,2025,32
35,"Palmas, Las",2014,1963
35,"Palmas, Las",2015,1431
35,"Palmas, Las",2016,1032
35,"Palmas, Las",2017,599
35,"Palmas, Las",2018,736
35,"Palmas, Las",2019,354
35,"Palmas, Las",2020,250
35,"Palmas, Las",2021,452
35,"Palmas, Las",2022,324
35,"Palmas, Las",2023,297
35,"Palmas, Las",2024,383
35,"Palmas, Las",2025,399
36,Pontevedra,2014,700
36,Pontevedra,2015,593
36,Pontevedra,2016,287
36,Pontevedra,2017,247
36,Pontevedra,2018,424
36,Pontevedra,2019,572
36,Pontevedra,2020,306
36,Pontevedra,2021,266
36,Pontevedra,2022,229
36,Pontevedra,2023,127
36,Pontevedra,2024,152
36,Pontevedra,2025,176
37,Salamanca,2014,314
37,Salamanca,2015,331
37,Salamanca,2016,126
37,Salamanca,2017,107
37,Salamanca,2018,164
37,Salamanca,2019,107
37,Salamanca,2020,69
37,Salamanca,2021,62
37,Salamanca,2022,55
37,Salamanca,2023,23
37,Salamanca,2024,27
37,Salamanca,2025,56
38,Santa Cruz de Tenerife,2014,2925
38,Santa Cruz de Tenerife,2015,159
38,Santa Cruz de Tenerife,2016,980
38,Santa Cruz de Tenerife,2017,750
38,Santa Cruz de Tenerife,2018,668
38,Santa Cruz de Tenerife,2019,285
38,Santa Cruz de Tenerife,2020,347
38,Santa Cruz de Tenerife,2021,458
38,Santa Cruz de Tenerife,2022,292
38,Santa Cruz de Tenerife,2023,193
38,Santa Cruz de Tenerife,2024,281
38,Santa Cruz de Tenerife,2025,308
39,Cantabria,2014,516
39,Cantabria,2015,405
39,Cantabria,2016,406
39,Cantabria,2017,222
39,Cantabria,2018,433
39,Cantabria,2019,372
39,Cantabria,2020,491
39,Cantabria,2021,169
39,Cantabria,2022,128
39,Cantabria,2023,92
39,Cantabria,2024,107
39,Cantabria,2025,106
40,Segovia,2014,112
40,Segovia,2015,136
40,Segovia,2016,111
40,Segovia,2017,71
40,Segovia,2018,110
40,Segovia,2019,56
40,Segovia,2020,29
40,Segovia,2021,37
40,Segovia,2022,53
40,Segovia,2023,15
40,Segovia,2024,10
40,Segovia,2025,33
41,Sevilla,2014,3058
41,Sevilla,2015,2824
41,Sevilla,2016,2057
41,Sevilla,2017,1871
41,Sevilla,2018,1387
41,Sevilla,2019,1216
41,Sevilla,2020,831
41,Sevilla,2021,1398
41,Sevilla,2022,1242
41,Sevilla,2023,869
41,Sevilla,2024,538
41,Sevilla,2025,739
42,Soria,2014,52
42,Soria,2015,32
42,Soria,2016,9
42,Soria,2017,40
42,Soria,2018,9
42,Soria,2019,14
42,Soria,2020,12
42,Soria,2021,3
42,Soria,2022,7
42,Soria,2023,6
42,Soria,2024,2
42,Soria,2025,10
43,Tarragona,2014,2323
43,Tarragona,2015,1884
43,Tarragona,2016,1529
43,Tarragona,2017,782
43,Tarragona,2018,871
43,Tarragona,2019,1348
43,Tarragona,2020,472
43,Tarragona,2021,654
43,Tarragona,2022,529
43,Tarragona,2023,605
