Total Nacional;Provincias;Estado de la vivienda;Periodo;Total
Total;13 Ciudad Real;General;2016;243
Total;13 Ciudad Real;General;2015;326
Total;13 Ciudad Real;General;2014;608
Total;13 Ciudad Real;Vivienda nueva;2025;6
Total;13 Ciudad Real;Vivienda nueva;2024;1
Total;13 Ciudad Real;Vivienda nueva;2023;26
Total;13 Ciudad Real;Vivienda nueva;2022;12
Total;13 Ciudad Real;Vivienda nueva;2021;7
Total;13 Ciudad Real;Vivienda nueva;2020;96
Total;13 Ciudad Real;Vivienda nueva;2019;57
Total;13 Ciudad Real;Vivienda nueva;2018;135
Total;13 Ciudad Real;Vivienda nueva;2017;39
Total;13 Ciudad Real;Vivienda nueva;2016;35
Total;13 Ciudad Real;Vivienda nueva;2015;66
Total;13 Ciudad Real;Vivienda nueva;2014;71
Total;13 Ciudad Real;Vivienda segunda mano;2025;89
Total;13 Ciudad Real;Vivienda segunda mano;2024;79
Total;13 Ciudad Real;Vivienda segunda mano;2023;67
Total;13 Ciudad Real;Vivienda segunda mano;2022;112
Total;13 Ciudad Real;Vivienda segunda mano;2021;94
Total;13 Ciudad Real;Vivienda segunda mano;2020;101
Total;13 Ciudad Real;Vivienda segunda mano;2019;179
Total;13 Ciudad Real;Vivienda segunda mano;2018;278
Total;13 Ciudad Real;Vivienda segunda mano;2017;113
Total;13 Ciudad Real;Vivienda segunda mano;2016;208
Total;13 Ciudad Real;Vivienda segunda mano;2015;260
Total;13 Ciudad Real;Vivienda segunda mano;2014;537
Total;14 Córdoba;General;2025;353
Total;14 Córdoba;General;2024;201
Total;14 Córdoba;General;2023;251
Total;14 Córdoba;General;2022;312
Total;14 Córdoba;General;2021;276
Total;14 Córdoba;General;2020;170
Total;14 Córdoba;General;2019;193
Total;14 Córdoba;General;2018;200
Total;14 Córdoba;General;2017;360
Total;14 Córdoba;General;2016;739
Total;14 Córdoba;General;2015;799
Total;14 Córdoba;General;2014;867
Total;14 Córdoba;Vivienda nueva;2025;15
Total;14 Córdoba;Vivienda nueva;2024;11
Total;14 Córdoba;Vivienda nueva;2023;14
Total;14 Córdoba;Vivienda nueva;2022;27
Total;14 Córdoba;Vivienda nueva;2021;27
Total;14 Córdoba;Vivienda nueva;2020;14
Total;14 Córdoba;Vivienda nueva;2019;13
Total;14 Córdoba;Vivienda nueva;2018;34
Total;14 Córdoba;Vivienda nueva;2017;40
Total;14 Córdoba;Vivienda nueva;2016;116
Total;14 Córdoba;Vivienda nueva;2015;76
Total;14 Córdoba;Vivienda nueva;2014;219
Total;14 Córdoba;Vivienda segunda mano;2025;338
Total;14 Córdoba;Vivienda segunda mano;2024;190
Total;14 Córdoba;Vivienda segunda mano;2023;237
Total;14 Córdoba;Vivienda segunda mano;2022;285
Total;14 Córdoba;Vivienda segunda mano;2021;249
Total;14 Córdoba;Vivienda segunda mano;2020;156
Total;14 Córdoba;Vivienda segunda mano;2019;180
Total;14 Córdoba;Vivienda segunda mano;2018;166
Total;14 Córdoba;Vivienda segunda mano;2017;320
Total;14 Córdoba;Vivienda segunda mano;2016;623
Total;14 Córdoba;Vivienda segunda mano;2015;723
Total;14 Córdoba;Vivienda segunda mano;2014;648
Total;15 Coruña, A;General;2025;305
Total;15 Coruña, A;General;2024;178
Total;15 Coruña, A;General;2023;132
Total;15 Coruña, A;General;2022;187
Total;15 Coruña, A;General;2021;348
Total;15 Coruña, A;General;2020;325
Total;15 Coruña, A;General;2019;645
Total;15 Coruña, A;General;2018;487
Total;15 Coruña, A;General;2017;305
Total;15 Coruña, A;General;2016;232
Total;15 Coruña, A;General;2015;503
Total;15 Coruña, A;General;2014;746
Total;15 Coruña, A;Vivienda nueva;2025;18
Total;15 Coruña, A;Vivienda nueva;2024;23
Total;15 Coruña, A;Vivienda nueva;2023;9
Total;15 Coruña, A;Vivienda nueva;2022;21
Total;15 Coruña, A;Vivienda nueva;2021;23
Total;15 Coruña, A;Vivienda nueva;2020;133
Total;15 Coruña, A;Vivienda nueva;2019;69
Total;15 Coruña, A;Vivienda nueva;2018;42
Total;15 Coruña, A;Vivienda nueva;2017;46
Total;15 Coruña, A;Vivienda nueva;2016;15
Total;15 Coruña, A;Vivienda nueva;2015;28
Total;15 Coruña, A;Vivienda nueva;2014;22
Total;15 Coruña, A;Vivienda segunda mano;2025;287
Total;15 Coruña, A;Vivienda segunda mano;2024;155
Total;15 Coruña, A;Vivienda segunda mano;2023;123
Total;15 Coruña, A;Vivienda segunda mano;2022;166
Total;15 Coruña, A;Vivienda segunda mano;2021;325
Total;15 Coruña, A;Vivienda segunda mano;2020;192
Total;15 Coruña, A;Vivienda segunda mano;2019;576
Total;15 Coruña, A;Vivienda segunda mano;2018;445
Total;15 Coruña, A;Vivienda segunda mano;2017;259
Total;15 Coruña, A;Vivienda segunda mano;2016;217
Total;15 Coruña, A;Vivienda segunda mano;2015;475
Total;15 Coruña, A;Vivienda segunda mano;2014;724
Total;16 Cuenca;General;2025;24
Total;16 Cuenca;General;2024;20
Total;16 Cuenca;General;2023;18
Total;16 Cuenca;General;2022;32
Total;16 Cuenca;General;2021;31
Total;16 Cuenca;General;2020;40
Total;16 Cuenca;General;2019;10
Total;16 Cuenca;General;2018;16
Total;16 Cuenca;General;2017;29
Total;16 Cuenca;General;2016;32
Total;16 Cuenca;General;2015;59
Total;16 Cuenca;General;2014;136
Total;16 Cuenca;Vivienda nueva;2025;2
Total;16 Cuenca;Vivienda nueva;2024;5
Total;16 Cuenca;Vivienda nueva;2023;3
Total;16 Cuenca;Vivienda nueva;2022;0
Total;16 Cuenca;Vivienda nueva;2021;0
Total;16 Cuenca;Vivienda nueva;2020;1
Total;16 Cuenca;Vivienda nueva;2019;2
Total;16 Cuenca;Vivienda nueva;2018;3
Total;16 Cuenca;Vivienda nueva;2017;1
Total;16 Cuenca;Vivienda nueva;2016;3
Total;16 Cuenca;Vivienda nueva;2015;1
Total;16 Cuenca;Vivienda nueva;2014;14
Total;16 Cuenca;Vivienda segunda mano;2025;22
Total;16 Cuenca;Vivienda segunda mano;2024;15
Total;16 Cuenca;Vivienda segunda mano;2023;15
Total;16 Cuenca;Vivienda segunda mano;2022;32
Total;16 Cuenca;Vivienda segunda mano;2021;31
Total;16 Cuenca;Vivienda segunda mano;2020;39
Total;16 Cuenca;Vivienda segunda mano;2019;8
Total;16 Cuenca;Vivienda segunda mano;2018;13
Total;16 Cuenca;Vivienda segunda mano;2017;28
Total;16 Cuenca;Vivienda segunda mano;2016;29
Total;16 Cuenca;Vivienda segunda mano;2015;58
Total;16 Cuenca;Vivienda segunda mano;2014;122
Total;20 Gipuzkoa;General;2025;84
Total;20 Gipuzkoa;General;2024;63
Total;20 Gipuzkoa;General;2023;62
Total;20 Gipuzkoa;General;2022;41
Total;20 Gipuzkoa;General;2021;43
Total;20 Gipuzkoa;General;2020;36
Total;20 Gipuzkoa;General;2019;29
Total;20 Gipuzkoa;General;2018;27
Total;20 Gipuzkoa;General;2017;77
Total;20 Gipuzkoa;General;2016;95
Total;20 Gipuzkoa;General;2015;83
Total;20 Gipuzkoa;General;2014;86
Total;20 Gipuzkoa;Vivienda nueva;2025;3
Total;20 Gipuzkoa;Vivienda nueva;2024;2
Total;20 Gipuzkoa;Vivienda nueva;2023;1
Total;20 Gipuzkoa;Vivienda nueva;2022;1
Total;20 Gipuzkoa;Vivienda nueva;2021;0
Total;20 Gipuzkoa;Vivienda nueva;2020;0
Total;20 Gipuzkoa;Vivienda nueva;2019;1
Total;20 Gipuzkoa;Vivienda nueva;2018;1
Total;20 Gipuzkoa;Vivienda nueva;2017;6
Total;20 Gipuzkoa;Vivienda nueva;2016;1
Total;20 Gipuzkoa;Vivienda nueva;2015;1
Total;20 Gipuzkoa;Vivienda nueva;2014;5
Total;20 Gipuzkoa;Vivienda segunda mano;2025;81
Total;20 Gipuzkoa;Vivienda segunda mano;2024;61
Total;20 Gipuzkoa;Vivienda segunda mano;2023;61
Total;20 Gipuzkoa;Vivienda segunda mano;2022;40
Total;20 Gipuzkoa;Vivienda segunda mano;2021;43
Total;20 Gipuzkoa;Vivienda segunda mano;2020;36
Total;20 Gipuzkoa;Vivienda segunda mano;2019;28
Total;20 Gipuzkoa;Vivienda segunda mano;2018;26
Total;20 Gipuzkoa;Vivienda segunda mano;2017;71
Total;20 Gipuzkoa;Vivienda segunda mano;2016;94
Total;20 Gipuzkoa;Vivienda segunda mano;2015;82
Total;20 Gipuzkoa;Vivienda segunda mano;2014;81
Total;17 Girona;General;2025;407
Total;17 Girona;General;2024;442
Total;17 Girona;General;2023;303
Total;17 Girona;General;2022;496
Total;17 Girona;General;2021;457
Total;17 Girona;General;2020;701
Total;17 Girona;General;2019;922
Total;17 Girona;General;2018;859
Total;17 Girona;General;2017;1.071
Total;17 Girona;General;2016;1.133
Total;17 Girona;General;2015;1.876
Total;17 Girona;General;2014;2.107
Total;17 Girona;Vivienda nueva;2025;22
Total;17 Girona;Vivienda nueva;2024;67
Total;17 Girona;Vivienda nueva;2023;24
Total;17 Girona;Vivienda nueva;2022;171
Total;17 Girona;Vivienda nueva;2021;40
Total;17 Girona;Vivienda nueva;2020;114
Total;17 Girona;Vivienda nueva;2019;165
Total;17 Girona;Vivienda nueva;2018;97
Total;17 Girona;Vivienda nueva;2017;127
Total;17 Girona;Vivienda nueva;2016;56
Total;17 Girona;Vivienda nueva;2015;114
Total;17 Girona;Vivienda nueva;2014;178
Total;17 Girona;Vivienda segunda mano;2025;385
Total;17 Girona;Vivienda segunda mano;2024;375
Total;17 Girona;Vivienda segunda mano;2023;279
Total;17 Girona;Vivienda segunda mano;2022;325
Total;17 Girona;Vivienda segunda mano;2021;417
Total;17 Girona;Vivienda segunda mano;2020;587
Total;17 Girona;Vivienda segunda mano;2019;757
Total;17 Girona;Vivienda segunda mano;2018;762
Total;17 Girona;Vivienda segunda mano;2017;944
Total;17 Girona;Vivienda segunda mano;2016;1.077
Total;17 Girona;Vivienda segunda mano;2015;1.762
Total;17 Girona;Vivienda segunda mano;2014;1.929
Total;18 Granada;General;2025;416
Total;18 Granada;General;2024;329
Total;18 Granada;General;2023;288
Total;18 Granada;General;2022;439
Total;18 Granada;General;2021;491
Total;18 Granada;General;2020;404
Total;18 Granada;General;2019;906
Total;18 Granada;General;2018;903
Total;18 Granada;General;2017;1.052
Total;18 Granada;General;2016;1.207
Total;18 Granada;General;2015;1.562
Total;18 Granada;General;2014;1.655
Total;18 Granada;Vivienda nueva;2025;40
Total;18 Granada;Vivienda nueva;2024;21
Total;18 Granada;Vivienda nueva;2023;33
Total;18 Granada;Vivienda nueva;2022;100
Total;18 Granada;Vivienda nueva;2021;151
Total;18 Granada;Vivienda nueva;2020;106
Total;18 Granada;Vivienda nueva;2019;347
Total;18 Granada;Vivienda nueva;2018;322
Total;18 Granada;Vivienda nueva;2017;316
Total;18 Granada;Vivienda nueva;2016;278
Total;18 Granada;Vivienda nueva;2015;299
Total;18 Granada;Vivienda nueva;2014;377
Total;18 Granada;Vivienda segunda mano;2025;376
Total;18 Granada;Vivienda segunda mano;2024;308
Total;18 Granada;Vivienda segunda mano;2023;255
Total;18 Granada;Vivienda segunda mano;2022;339
Total;18 Granada;Vivienda segunda mano;2021;340
Total;18 Granada;Vivienda segunda mano;2020;298
Total;18 Granada;Vivienda segunda mano;2019;559
Total;18 Granada;Vivienda segunda mano;2018;581
Total;18 Granada;Vivienda segunda mano;2017;736
Total;18 Granada;Vivienda segunda mano;2016;929
Total;18 Granada;Vivienda segunda mano;2015;1.263
Total;18 Granada;Vivienda segunda mano;2014;1.278
Total;19 Guadalajara;General;2025;78
Total;19 Guadalajara;General;2024;79
Total;19 Guadalajara;General;2023;41
Total;19 Guadalajara;General;2022;103
Total;19 Guadalajara;General;2021;167
Total;19 Guadalajara;General;2020;125
Total;19 Guadalajara;General;2019;336
Total;19 Guadalajara;General;2018;126
Total;19 Guadalajara;General;2017;153
Total;19 Guadalajara;General;2016;208
Total;19 Guadalajara;General;2015;336
Total;19 Guadalajara;General;2014;583
Total;19 Guadalajara;Vivienda nueva;2025;8
Total;19 Guadalajara;Vivienda nueva;2024;5
Total;19 Guadalajara;Vivienda nueva;2023;1
Total;19 Guadalajara;Vivienda nueva;2022;5
Total;19 Guadalajara;Vivienda nueva;2021;6
Total;19 Guadalajara;Vivienda nueva;2020;18
Total;19 Guadalajara;Vivienda nueva;2019;60
Total;19 Guadalajara;Vivienda nueva;2018;18
Total;19 Guadalajara;Vivienda nueva;2017;6
Total;19 Guadalajara;Vivienda nueva;2016;24
Total;19 Guadalajara;Vivienda nueva;2015;20
Total;19 Guadalajara;Vivienda nueva;2014;43
Total;19 Guadalajara;Vivienda segunda mano;2025;70
Total;19 Guadalajara;Vivienda segunda mano;2024;74
Total;19 Guadalajara;Vivienda segunda mano;2023;40
Total;19 Guadalajara;Vivienda segunda mano;2022;98
Total;19 Guadalajara;Vivienda segunda mano;2021;161
Total;19 Guadalajara;Vivienda segunda mano;2020;107
Total;19 Guadalajara;Vivienda segunda mano;2019;276
Total;19 Guadalajara;Vivienda segunda mano;2018;108
Total;19 Guadalajara;Vivienda segunda mano;2017;147
Total;19 Guadalajara;Vivienda segunda mano;2016;184
Total;19 Guadalajara;Vivienda segunda mano;2015;316
Total;19 Guadalajara;Vivienda segunda mano;2014;540
Total;21 Huelva;General;2025;183
Total;21 Huelva;General;2024;127
Total;21 Huelva;General;2023;197
Total;21 Huelva;General;2022;190
Total;21 Huelva;General;2021;362
Total;21 Huelva;General;2020;299
Total;21 Huelva;General;2019;269
Total;21 Huelva;General;2018;359
Total;21 Huelva;General;2017;578
Total;21 Huelva;General;2016;772
Total;21 Huelva;General;2015;1.318
Total;21 Huelva;General;2014;1.287
Total;21 Huelva;Vivienda nueva;2025;12
Total;21 Huelva;Vivienda nueva;2024;25
Total;21 Huelva;Vivienda nueva;2023;20
Total;21 Huelva;Vivienda nueva;2022;40
Total;21 Huelva;Vivienda nueva;2021;135
Total;21 Huelva;Vivienda nueva;2020;39
Total;21 Huelva;Vivienda nueva;2019;72
Total;21 Huelva;Vivienda nueva;2018;78
Total;21 Huelva;Vivienda nueva;2017;198
Total;21 Huelva;Vivienda nueva;2016;169
Total;21 Huelva;Vivienda nueva;2015;394
Total;21 Huelva;Vivienda nueva;2014;320
Total;21 Huelva;Vivienda segunda mano;2025;171
Total;21 Huelva;Vivienda segunda mano;2024;102
Total;21 Huelva;Vivienda segunda mano;2023;177
Total;21 Huelva;Vivienda segunda mano;2022;150
Total;21 Huelva;Vivienda segunda mano;2021;227
Total;21 Huelva;Vivienda segunda mano;2020;260
Total;21 Huelva;Vivienda segunda mano;2019;197
Total;21 Huelva;Vivienda segunda mano;2018;281
Total;21 Huelva;Vivienda segunda mano;2017;380
Total;21 Huelva;Vivienda segunda mano;2016;603
Total;21 Huelva;Vivienda segunda mano;2015;924
Total;21 Huelva;Vivienda segunda mano;2014;967
Total;22 Huesca;General;2025;58
Total;22 Huesca;General;2024;55
Total;22 Huesca;General;2023;46
Total;22 Huesca;General;2022;55
Total;22 Huesca;General;2021;129
Total;22 Huesca;General;2020;56
Total;22 Huesca;General;2019;95
Total;22 Huesca;General;2018;180
Total;22 Huesca;General;2017;96
Total;22 Huesca;General;2016;182
Total;22 Huesca;General;2015;289
Total;22 Huesca;General;2014;240
Total;22 Huesca;Vivienda nueva;2025;1
Total;22 Huesca;Vivienda nueva;2024;4
Total;22 Huesca;Vivienda nueva;2023;1
Total;22 Huesca;Vivienda nueva;2022;8
Total;22 Huesca;Vivienda nueva;2021;3
Total;22 Huesca;Vivienda nueva;2020;0
Total;22 Huesca;Vivienda nueva;2019;2
Total;22 Huesca;Vivienda nueva;2018;1
Total;22 Huesca;Vivienda nueva;2017;28
Total;22 Huesca;Vivienda nueva;2016;12
Total;22 Huesca;Vivienda nueva;2015;27
Total;22 Huesca;Vivienda nueva;2014;13
Total;22 Huesca;Vivienda segunda mano;2025;57
Total;22 Huesca;Vivienda segunda mano;2024;51
Total;22 Huesca;Vivienda segunda mano;2023;45
Total;22 Huesca;Vivienda segunda mano;2022;47
Total;22 Huesca;Vivienda segunda mano;2021;126
Total;22 Huesca;Vivienda segunda mano;2020;56
Total;22 Huesca;Vivienda segunda mano;2019;93
Total;22 Huesca;Vivienda segunda mano;2018;179
Total;22 Huesca;Vivienda segunda mano;2017;68
Total;22 Huesca;Vivienda segunda mano;2016;170
Total;22 Huesca;Vivienda segunda mano;2015;262
Total;22 Huesca;Vivienda segunda mano;2014;227
Total;23 Jaén;General;2025;254
Total;23 Jaén;General;2024;187
Total;23 Jaén;General;2023;227
Total;23 Jaén;General;2022;251
Total;23 Jaén;General;2021;234
Total;23 Jaén;General;2020;152
Total;23 Jaén;General;2019;253
Total;23 Jaén;General;2018;117
Total;23 Jaén;General;2017;266
Total;23 Jaén;General;2016;534
Total;23 Jaén;General;2015;688
Total;23 Jaén;General;2014;659
Total;23 Jaén;Vivienda nueva;2025;12
Total;23 Jaén;Vivienda nueva;2024;16
Total;23 Jaén;Vivienda nueva;2023;18
Total;23 Jaén;Vivienda nueva;2022;15
Total;23 Jaén;Vivienda nueva;2021;12
Total;23 Jaén;Vivienda nueva;2020;12
Total;23 Jaén;Vivienda nueva;2019;24
Total;23 Jaén;Vivienda nueva;2018;10
Total;23 Jaén;Vivienda nueva;2017;37
Total;23 Jaén;Vivienda nueva;2016;54
Total;23 Jaén;Vivienda nueva;2015;181
Total;23 Jaén;Vivienda nueva;2014;128
Total;23 Jaén;Vivienda segunda mano;2025;242
Total;23 Jaén;Vivienda segunda mano;2024;171
Total;23 Jaén;Vivienda segunda mano;2023;209
Total;23 Jaén;Vivienda segunda mano;2022;236
Total;23 Jaén;Vivienda segunda mano;2021;222
Total;23 Jaén;Vivienda segunda mano;2020;140
Total;23 Jaén;Vivienda segunda mano;2019;229
Total;23 Jaén;Vivienda segunda mano;2018;107
Total;23 Jaén;Vivienda segunda mano;2017;229
Total;23 Jaén;Vivienda segunda mano;2016;480
Total;23 Jaén;Vivienda segunda mano;2015;507
Total;23 Jaén;Vivienda segunda mano;2014;531
Total;24 León;General;2025;125
Total;24 León;General;2024;98
Total;24 León;General;2023;60
Total;24 León;General;2022;97
Total;24 León;General;2021;103
Total;24 León;General;2020;202
Total;24 León;General;2019;257
Total;24 León;General;2018;205
Total;24 León;General;2017;135
Total;24 León;General;2016;161
Total;24 León;General;2015;317
Total;24 León;General;2014;426
Total;24 León;Vivienda nueva;2025;3
Total;24 León;Vivienda nueva;2024;5
Total;24 León;Vivienda nueva;2023;1
Total;24 León;Vivienda nueva;2022;5
Total;24 León;Vivienda nueva;2021;3
Total;24 León;Vivienda nueva;2020;82
Total;24 León;Vivienda nueva;2019;59
Total;24 León;Vivienda nueva;2018;64
Total;24 León;Vivienda nueva;2017;11
Total;24 León;Vivienda nueva;2016;4
Total;24 León;Vivienda nueva;2015;38
Total;24 León;Vivienda nueva;2014;60
Total;24 León;Vivienda segunda mano;2025;122
Total;24 León;Vivienda segunda mano;2024;93
Total;24 León;Vivienda segunda mano;2023;59
Total;24 León;Vivienda segunda mano;2022;92
Total;24 León;Vivienda segunda mano;2021;100
Total;24 León;Vivienda segunda mano;2020;120
Total;24 León;Vivienda segunda mano;2019;198
Total;24 León;Vivienda segunda mano;2018;141
Total;24 León;Vivienda segunda mano;2017;124
Total;24 León;Vivienda segunda mano;2016;157
Total;24 León;Vivienda segunda mano;2015;279
Total;24 León;Vivienda segunda mano;2014;366
Total;25 Lleida;General;2025;137
Total;25 Lleida;General;2024;103
Total;25 Lleida;General;2023;176
Total;25 Lleida;General;2022;198
Total;25 Lleida;General;2021;254
Total;25 Lleida;General;2020;290
Total;25 Lleida;General;2019;798
Total;25 Lleida;General;2018;741
Total;25 Lleida;General;2017;295
Total;25 Lleida;General;2016;510
Total;25 Lleida;General;2015;843
Total;25 Lleida;General;2014;891
Total;25 Lleida;Vivienda nueva;2025;5
Total;25 Lleida;Vivienda nueva;2024;3
Total;25 Lleida;Vivienda nueva;2023;62
Total;25 Lleida;Vivienda nueva;2022;5
Total;25 Lleida;Vivienda nueva;2021;12
Total;25 Lleida;Vivienda nueva;2020;66
Total;25 Lleida;Vivienda nueva;2019;353
Total;25 Lleida;Vivienda nueva;2018;138
Total;25 Lleida;Vivienda nueva;2017;9
Total;25 Lleida;Vivienda nueva;2016;52
Total;25 Lleida;Vivienda nueva;2015;85
Total;25 Lleida;Vivienda nueva;2014;200
Total;25 Lleida;Vivienda segunda mano;2025;132
Total;25 Lleida;Vivienda segunda mano;2024;100
Total;25 Lleida;Vivienda segunda mano;2023;114
Total;25 Lleida;Vivienda segunda mano;2022;193
Total;25 Lleida;Vivienda segunda mano;2021;242
Total;25 Lleida;Vivienda segunda mano;2020;224
Total;25 Lleida;Vivienda segunda mano;2019;445
Total;25 Lleida;Vivienda segunda mano;2018;603
Total;25 Lleida;Vivienda segunda mano;2017;286
Total;25 Lleida;Vivienda segunda mano;2016;458
Total;25 Lleida;Vivienda segunda mano;2015;758
Total;25 Lleida;Vivienda segunda mano;2014;691
Total;27 Lugo;General;2025;27
Total;27 Lugo;General;2024;27
Total;27 Lugo;General;2023;16
Total;27 Lugo;General;2022;32
Total;27 Lugo;General;2021;31
Total;27 Lugo;General;2020;117
Total;27 Lugo;General;2019;98
Total;27 Lugo;General;2018;75
Total;27 Lugo;General;2017;193
Total;27 Lugo;General;2016;164
Total;27 Lugo;General;2015;88
Total;27 Lugo;General;2014;264
Total;27 Lugo;Vivienda nueva;2025;1
Total;27 Lugo;Vivienda nueva;2024;0
Total;27 Lugo;Vivienda nueva;2023;2
Total;27 Lugo;Vivienda nueva;2022;0
Total;27 Lugo;Vivienda nueva;2021;1
Total;27 Lugo;Vivienda nueva;2020;0
Total;27 Lugo;Vivienda nueva;2019;4
Total;27 Lugo;Vivienda nueva;2018;1
Total;27 Lugo;Vivienda nueva;2017;1
Total;27 Lugo;Vivienda nueva;2016;5
Total;27 Lugo;Vivienda nueva;2015;4
Total;27 Lugo;Vivienda nueva;2014;46
Total;27 Lugo;Vivienda segunda mano;2025;26
Total;27 Lugo;Vivienda segunda mano;2024;27
Total;27 Lugo;Vivienda segunda mano;2023;14
Total;27 Lugo;Vivienda segunda mano;2022;32
Total;27 Lugo;Vivienda segunda mano;2021;30
Total;27 Lugo;Vivienda segunda mano;2020;117
Total;27 Lugo;Vivienda segunda mano;2019;94
Total;27 Lugo;Vivienda segunda mano;2018;74
Total;27 Lugo;Vivienda segunda mano;2017;192
Total;27 Lugo;Vivienda segunda mano;2016;159
Total;27 Lugo;Vivienda segunda mano;2015;84
Total;27 Lugo;Vivienda segunda mano;2014;218
Total;28 Madrid;General;2025;1.328
Total;28 Madrid;General;2024;1.161
Total;28 Madrid;General;2023;1.185
Total;28 Madrid;General;2022;1.455
Total;28 Madrid;General;2021;1.750
Total;28 Madrid;General;2020;1.286
Total;28 Madrid;General;2019;1.466
Total;28 Madrid;General;2018;1.646
Total;28 Madrid;General;2017;2.305
Total;28 Madrid;General;2016;3.511
Total;28 Madrid;General;2015;4.250
Total;28 Madrid;General;2014;4.424
Total;28 Madrid;Vivienda nueva;2025;67
Total;28 Madrid;Vivienda nueva;2024;71
Total;28 Madrid;Vivienda nueva;2023;46
Total;28 Madrid;Vivienda nueva;2022;72
Total;28 Madrid;Vivienda nueva;2021;72
Total;28 Madrid;Vivienda nueva;2020;111
Total;28 Madrid;Vivienda nueva;2019;141
Total;28 Madrid;Vivienda nueva;2018;142
Total;28 Madrid;Vivienda nueva;2017;235
Total;28 Madrid;Vivienda nueva;2016;401
Total;28 Madrid;Vivienda nueva;2015;355
Total;28 Madrid;Vivienda nueva;2014;367
Total;28 Madrid;Vivienda segunda mano;2025;1.261
Total;28 Madrid;Vivienda segunda mano;2024;1.090
Total;28 Madrid;Vivienda segunda mano;2023;1.139
Total;28 Madrid;Vivienda segunda mano;2022;1.383
Total;28 Madrid;Vivienda segunda mano;2021;1.678
Total;28 Madrid;Vivienda segunda mano;2020;1.175
Total;28 Madrid;Vivienda segunda mano;2019;1.325
Total;28 Madrid;Vivienda segunda mano;2018;1.504
Total;28 Madrid;Vivienda segunda mano;2017;2.070
Total;28 Madrid;Vivienda segunda mano;2016;3.110
Total;28 Madrid;Vivienda segunda mano;2015;3.895
Total;28 Madrid;Vivienda segunda mano;2014;4.057
Total;29 Málaga;General;2025;613
Total;29 Málaga;General;2024;420
Total;29 Málaga;General;2023;443
Total;29 Málaga;General;2022;621
Total;29 Málaga;General;2021;674
Total;29 Málaga;General;2020;495
Total;29 Málaga;General;2019;531
Total;29 Málaga;General;2018;647
Total;29 Málaga;General;2017;1.222
Total;29 Málaga;General;2016;2.066
Total;29 Málaga;General;2015;2.947
Total;29 Málaga;General;2014;3.834
Total;29 Málaga;Vivienda nueva;2025;79
Total;29 Málaga;Vivienda nueva;2024;66
Total;29 Málaga;Vivienda nueva;2023;71
Total;29 Málaga;Vivienda nueva;2022;102
Total;29 Málaga;Vivienda nueva;2021;155
Total;29 Málaga;Vivienda nueva;2020;115
Total;29 Málaga;Vivienda nueva;2019;148
Total;29 Málaga;Vivienda nueva;2018;132
Total;29 Málaga;Vivienda nueva;2017;269
Total;29 Málaga;Vivienda nueva;2016;375
Total;29 Málaga;Vivienda nueva;2015;579
Total;29 Málaga;Vivienda nueva;2014;1.060
Total;29 Málaga;Vivienda segunda mano;2025;534
Total;29 Málaga;Vivienda segunda mano;2024;354
Total;29 Málaga;Vivienda segunda mano;2023;372
Total;29 Málaga;Vivienda segunda mano;2022;519
Total;29 Málaga;Vivienda segunda mano;2021;519
Total;29 Málaga;Vivienda segunda mano;2020;380
Total;29 Málaga;Vivienda segunda mano;2019;383
Total;29 Málaga;Vivienda segunda mano;2018;515
Total;29 Málaga;Vivienda segunda mano;2017;953
Total;29 Málaga;Vivienda segunda mano;2016;1.691
Total;29 Málaga;Vivienda segunda mano;2015;2.368
Total;29 Málaga;Vivienda segunda mano;2014;2.774
Total;30 Murcia;General;2025;667
Total;30 Murcia;General;2024;684
Total;30 Murcia;General;2023;554
Total;30 Murcia;General;2022;806
Total;30 Murcia;General;2021;984
Total;30 Murcia;General;2020;1.077
Total;30 Murcia;General;2019;2.055
Total;30 Murcia;General;2018;1.453
Total;30 Murcia;General;2017;1.639
Total;30 Murcia;General;2016;2.585
Total;30 Murcia;General;2015;3.612
Total;30 Murcia;General;2014;3.709
Total;30 Murcia;Vivienda nueva;2025;65
Total;30 Murcia;Vivienda nueva;2024;105
Total;30 Murcia;Vivienda nueva;2023;54
Total;30 Murcia;Vivienda nueva;2022;66
Total;30 Murcia;Vivienda nueva;2021;70
Total;30 Murcia;Vivienda nueva;2020;246
Total;30 Murcia;Vivienda nueva;2019;626
Total;30 Murcia;Vivienda nueva;2018;649
Total;30 Murcia;Vivienda nueva;2017;394
Total;30 Murcia;Vivienda nueva;2016;349
Total;30 Murcia;Vivienda nueva;2015;803
Total;30 Murcia;Vivienda nueva;2014;597
Total;30 Murcia;Vivienda segunda mano;2025;602
Total;30 Murcia;Vivienda segunda mano;2024;579
Total;30 Murcia;Vivienda segunda mano;2023;500
Total;30 Murcia;Vivienda segunda mano;2022;740
Total;30 Murcia;Vivienda segunda mano;2021;914
Total;30 Murcia;Vivienda segunda mano;2020;831
Total;30 Murcia;Vivienda segunda mano;2019;1.429
Total;30 Murcia;Vivienda segunda mano;2018;804
Total;30 Murcia;Vivienda segunda mano;2017;1.245
Total;30 Murcia;Vivienda segunda mano;2016;2.236
Total;30 Murcia;Vivienda segunda mano;2015;2.809
Total;30 Murcia;Vivienda segunda mano;2014;3.112
Total;31 Navarra;General;2025;62
Total;31 Navarra;General;2024;56
Total;31 Navarra;General;2023;55
Total;31 Navarra;General;2022;83
