Total Nacional;Provincias;Estado de la vivienda;Periodo;Total
Total;04 Almería;Vivienda segunda mano;2018;723
Total;04 Almería;Vivienda segunda mano;2017;1.123
Total;04 Almería;Vivienda segunda mano;2016;2.269
Total;04 Almería;Vivienda segunda mano;2015;3.344
Total;04 Almería;Vivienda segunda mano;2014;2.206
Total;01 Araba/Álava;General;2025;29
Total;01 Araba/Álava;General;2024;31
Total;01 Araba/Álava;General;2023;28
Total;01 Araba/Álava;General;2022;43
Total;01 Araba/Álava;General;2021;41
Total;01 Araba/Álava;General;2020;10
Total;01 Araba/Álava;General;2019;8
Total;01 Araba/Álava;General;2018;22
Total;01 Araba/Álava;General;2017;44
Total;01 Araba/Álava;General;2016;59
Total;01 Araba/Álava;General;2015;51
Total;01 Araba/Álava;General;2014;57
Total;01 Araba/Álava;Vivienda nueva;2025;1
Total;01 Araba/Álava;Vivienda nueva;2024;0
Total;01 Araba/Álava;Vivienda nueva;2023;0
Total;01 Araba/Álava;Vivienda nueva;2022;4
Total;01 Araba/Álava;Vivienda nueva;2021;1
Total;01 Araba/Álava;Vivienda nueva;2020;0
Total;01 Araba/Álava;Vivienda nueva;2019;0
Total;01 Araba/Álava;Vivienda nueva;2018;0
Total;01 Araba/Álava;Vivienda nueva;2017;3
Total;01 Araba/Álava;Vivienda nueva;2016;0
Total;01 Araba/Álava;Vivienda nueva;2015;2
Total;01 Araba/Álava;Vivienda nueva;2014;0
Total;01 Araba/Álava;Vivienda segunda mano;2025;28
Total;01 Araba/Álava;Vivienda segunda mano;2024;31
Total;01 Araba/Álava;Vivienda segunda mano;2023;28
Total;01 Araba/Álava;Vivienda segunda mano;2022;39
Total;01 Araba/Álava;Vivienda segunda mano;2021;40
Total;01 Araba/Álava;Vivienda segunda mano;2020;10
Total;01 Araba/Álava;Vivienda segunda mano;2019;8
Total;01 Araba/Álava;Vivienda segunda mano;2018;22
Total;01 Araba/Álava;Vivienda segunda mano;2017;41
Total;01 Araba/Álava;Vivienda segunda mano;2016;59
Total;01 Araba/Álava;Vivienda segunda mano;2015;49
Total;01 Araba/Álava;Vivienda segunda mano;2014;57
Total;33 Asturias;General;2025;269
Total;33 Asturias;General;2024;202
Total;33 Asturias;General;2023;173
Total;33 Asturias;General;2022;251
Total;33 Asturias;General;2021;337
Total;33 Asturias;General;2020;299
Total;33 Asturias;General;2019;335
Total;33 Asturias;General;2018;474
Total;33 Asturias;General;2017;286
Total;33 Asturias;General;2016;394
Total;33 Asturias;General;2015;603
Total;33 Asturias;General;2014;574
Total;33 Asturias;Vivienda nueva;2025;27
Total;33 Asturias;Vivienda nueva;2024;14
Total;33 Asturias;Vivienda nueva;2023;15
Total;33 Asturias;Vivienda nueva;2022;8
Total;33 Asturias;Vivienda nueva;2021;7
Total;33 Asturias;Vivienda nueva;2020;6
Total;33 Asturias;Vivienda nueva;2019;52
Total;33 Asturias;Vivienda nueva;2018;49
Total;33 Asturias;Vivienda nueva;2017;4
Total;33 Asturias;Vivienda nueva;2016;24
Total;33 Asturias;Vivienda nueva;2015;16
Total;33 Asturias;Vivienda nueva;2014;38
Total;33 Asturias;Vivienda segunda mano;2025;242
Total;33 Asturias;Vivienda segunda mano;2024;188
Total;33 Asturias;Vivienda segunda mano;2023;158
Total;33 Asturias;Vivienda segunda mano;2022;243
Total;33 Asturias;Vivienda segunda mano;2021;330
Total;33 Asturias;Vivienda segunda mano;2020;293
Total;33 Asturias;Vivienda segunda mano;2019;283
Total;33 Asturias;Vivienda segunda mano;2018;425
Total;33 Asturias;Vivienda segunda mano;2017;282
Total;33 Asturias;Vivienda segunda mano;2016;370
Total;33 Asturias;Vivienda segunda mano;2015;587
Total;33 Asturias;Vivienda segunda mano;2014;536
Total;05 Ávila;General;2025;35
Total;05 Ávila;General;2024;46
Total;05 Ávila;General;2023;54
Total;05 Ávila;General;2022;36
Total;05 Ávila;General;2021;27
Total;05 Ávila;General;2020;19
Total;05 Ávila;General;2019;46
Total;05 Ávila;General;2018;131
Total;05 Ávila;General;2017;143
Total;05 Ávila;General;2016;130
Total;05 Ávila;General;2015;177
Total;05 Ávila;General;2014;160
Total;05 Ávila;Vivienda nueva;2025;2
Total;05 Ávila;Vivienda nueva;2024;3
Total;05 Ávila;Vivienda nueva;2023;24
Total;05 Ávila;Vivienda nueva;2022;2
Total;05 Ávila;Vivienda nueva;2021;0
Total;05 Ávila;Vivienda nueva;2020;0
Total;05 Ávila;Vivienda nueva;2019;0
Total;05 Ávila;Vivienda nueva;2018;1
