Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2015;14.680
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2023;17.850
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2022;16.450
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2021;15.050
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2020;14.350
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2019;15.050
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2018;14.350
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2017;13.650
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2016;12.950
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2015;12.250
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2023;16.603
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2022;15.200
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2021;13.912
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2020;13.182
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2019;13.428
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2018;12.849
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2017;12.220
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2016;11.551
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2015;11.217
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2023;44.535
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2022;40.654
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2021;37.399
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2020;35.832
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2019;36.920
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2018;35.369
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2017;33.763
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2016;32.276
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2015;31.155
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2023;13.366
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2022;12.237
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2021;11.198
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2020;10.679
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2019;10.770
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2018;10.233
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2017;9.738
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2016;9.238
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2015;9.073
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2023;35.654
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2022;32.485
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2021;29.849
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2020;28.792
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2019;29.388
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2018;27.865
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2017;26.492
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2016;25.462
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2015;24.738
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2023;20.068
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2022;18.744
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2021;17.139
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2020;16.359
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2019;16.549
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2018;15.743
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2017;15.000
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2016;14.293
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2015;13.997
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2023;17.150
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2022;15.750
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2020;13.650
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2019;14.350
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2018;12.950
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2017;12.950
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2016;11.550
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2015;11.550
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2023;15.888
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2022;14.471
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2021;13.258
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2020;12.553
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2019;12.693
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2018;12.031
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2017;11.429
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2016;10.834
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2015;10.605
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2023;42.381
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2022;38.413
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2021;35.338
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2020;33.844
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2019;34.634
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2018;32.761
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2017;31.092
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2016;29.860
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2015;28.913
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2023;15.043
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2022;14.211
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2021;13.425
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2020;12.865
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2019;12.852
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2018;12.389
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2017;11.874
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2016;11.503
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2015;11.229
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2023;36.412
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2022;34.461
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2021;32.734
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2020;31.545
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2019;31.698
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2018;30.651
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2017;29.534
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2016;28.847
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2015;28.197
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2023;21.915
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2022;20.905
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2021;19.804
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2020;19.018
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2019;19.014
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2018;18.361
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2017;17.652
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2016;17.126
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2015;16.753
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2023;19.950
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2022;18.550
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2021;17.850
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2020;17.150
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2019;17.150
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2018;16.450
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2017;15.750
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2016;15.050
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2015;15.050
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2023;18.314
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2022;17.188
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2021;16.167
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2020;15.386
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2019;15.332
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2018;14.751
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2017;14.119
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2016;13.628
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2015;13.271
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2023;44.330
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2022;41.681
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2021;39.419
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2020;37.727
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2019;37.815
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2018;36.495
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2017;35.120
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2016;34.176
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2015;33.326
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2023;13.602
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2022;12.684
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2021;12.123
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2020;11.577
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2019;11.322
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2018;10.822
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2017;10.291
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2016;9.925
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2015;9.745
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2023;30.159
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2022;28.227
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2021;27.023
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2020;26.065
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2019;25.530
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2018;24.593
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2017;23.596
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2016;22.877
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2015;22.442
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2023;19.267
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2022;18.220
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2021;17.407
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2020;16.654
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2019;16.313
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2018;15.630
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2017;14.908
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2016;14.384
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2015;14.098
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2023;17.150
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2022;15.750
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2021;15.050
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2020;14.350
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2019;14.350
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2018;13.650
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2017;12.950
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2016;12.250
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2015;12.250
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2023;16.036
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2022;14.923
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2021;14.184
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2020;13.447
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2019;13.098
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2018;12.501
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2017;11.854
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2016;11.430
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2015;11.212
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2023;35.556
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2022;33.209
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2021;31.617
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2020;30.276
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2019;29.536
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2018;28.410
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2017;27.181
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2016;26.347
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2015;25.821
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2023;15.988
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2022;15.017
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2021;14.357
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2020;13.777
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2019;13.713
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2018;13.316
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2017;12.701
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2016;12.375
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2015;12.093
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2023;36.605
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2022;34.530
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2021;33.203
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2020;32.078
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2019;32.106
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2018;31.240
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2017;29.949
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2016;29.391
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2015;28.822
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2023;22.910
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2022;21.779
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2021;20.846
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2020;20.035
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2019;20.000
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2018;19.461
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2017;18.598
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2016;18.124
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2015;17.731
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2023;20.650
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2022;19.950
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2021;19.250
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2020;17.850
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2019;18.550
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2018;17.850
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2017;16.450
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2016;16.450
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2015;15.750
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2023;19.467
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2022;18.242
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2021;17.304
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2020;16.469
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2019;16.393
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2018;15.887
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2017;15.124
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2016;14.690
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2015;14.368
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2023;44.572
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2022;41.946
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2021;40.018
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2020;38.347
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2019;38.382
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2018;37.270
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2017;35.661
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2016;34.889
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2015;34.245
Total Nacional;Castilla y León;León;;Renta neta media por persona;2023;15.110
Total Nacional;Castilla y León;León;;Renta neta media por persona;2022;14.144
Total Nacional;Castilla y León;León;;Renta neta media por persona;2021;13.400
Total Nacional;Castilla y León;León;;Renta neta media por persona;2020;12.917
Total Nacional;Castilla y León;León;;Renta neta media por persona;2019;12.755
Total Nacional;Castilla y León;León;;Renta neta media por persona;2018;12.222
Total Nacional;Castilla y León;León;;Renta neta media por persona;2017;11.702
Total Nacional;Castilla y León;León;;Renta neta media por persona;2016;11.350
Total Nacional;Castilla y León;León;;Renta neta media por persona;2015;11.138
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2023;33.378
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2022;31.392
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2021;30.024
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2020;29.196
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2019;29.060
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2018;28.009
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2017;27.038
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2016;26.563
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2015;26.141
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2023;21.417
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2022;20.239
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2021;19.222
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2020;18.553
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2019;18.361
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2018;17.665
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2017;16.946
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2016;16.500
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2015;16.184
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2023;19.250
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2022;18.550
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2021;17.150
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2020;16.450
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2019;16.450
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2018;15.750
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2017;15.050
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2016;14.350
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2015;14.350
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2023;18.108
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2022;16.864
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2021;15.855
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2020;15.183
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2019;14.956
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2018;14.328
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2017;13.690
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2016;13.272
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2015;13.016
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2023;39.999
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2022;37.429
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2021;35.524
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2020;34.317
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2019;34.074
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2018;32.833
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2017;31.629
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2016;31.061
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2015;30.549
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2023;15.147
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2022;14.251
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2021;13.624
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2020;13.153
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2019;13.010
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2018;12.525
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2017;12.024
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2016;11.752
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2015;11.392
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2023;34.037
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2022;32.105
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2021;31.008
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2020;30.176
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2019;30.010
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2018;28.971
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2017;28.036
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2016;27.629
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2015;26.887
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2023;21.553
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2022;20.448
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2021;19.594
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2020;18.960
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2019;18.809
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2018;18.150
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2017;17.457
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2016;17.077
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2015;16.594
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2023;19.250
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2022;18.550
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2021;17.850
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2020;17.150
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2019;17.150
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2018;16.450
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2017;15.750
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2016;15.750
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2015;15.050
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2023;18.156
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2022;17.013
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2021;16.165
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2020;15.497
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2019;15.316
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2018;14.730
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2017;14.110
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2016;13.760
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2015;13.339
Total Nacional;Castilla y León;Palencia;;Renta bruta media por hogar;2023;40.797
